monthly_income,loan_amount_requested,loan_to_income_ratio,declared_age,employment_type_encoded,cibil_score_proxy,existing_loans,has_default_history,avg_liveness,age_mismatch_flag,geo_tier,loan_purpose_risky,default_probability
51655.84015441838,491769.9089930291,0.7933435140520853,37,4,653,5,1,0.8369509889826282,1,2,1,0.32231183244358
26370.67686151653,758785.2592060731,2.3978188070749074,36,0,729,4,1,0.7840784514417483,0,1,0,0.3362567301340246
64551.94954455527,182889.53770974468,0.23610123190200222,18,0,890,1,0,0.9566636081461707,0,2,0,0.03071189108654029
70989.1521830055,372808.85066556936,0.4376359382633701,67,0,635,2,0,0.9385309492024752,0,2,0,0.06396858363845026
16722.031921711055,727589.2691442871,3.6259014083470986,61,0,707,4,0,0.9646223032167123,0,2,0,0.3414082470352924
23130.566491708872,460174.06037175935,1.6578858273124881,31,4,700,0,0,0.9234687545971896,0,3,0,0.25737031543300415
47283.66668270606,1067041.3544804733,1.880567204528899,25,1,675,4,0,0.9392523569090834,0,2,1,0.3060513455714711
37868.64363193949,171861.80698345782,0.3781972596594945,61,1,696,3,0,0.9383132657486952,1,2,0,0.16902894229836077
43984.80099300428,160491.92989055178,0.3040670229019902,61,4,662,4,0,0.9409758737626933,0,1,1,0.15157573840815078
28954.41675237568,702086.510660022,2.0206661291793435,64,2,900,0,0,0.7560067030995987,0,3,0,0.31548003776158007
68850.92832971556,743767.919472148,0.9002153124094032,46,0,759,5,0,0.9671811050693339,0,2,0,0.1075529293753064
65440.45784849418,393977.86082463915,0.5017001634992188,56,2,663,4,0,0.8045204832168734,0,3,0,0.18932268467576002
45844.721643602985,562550.75495848,1.0225654753520508,55,0,794,1,0,0.8544592732468467,0,1,1,0.15196371022724797
77934.23456989981,691849.8190683202,0.7397795321556181,29,0,720,5,0,0.9361297874959286,0,2,0,0.1031289966995746
56036.28302790494,271490.4048526183,0.4037419896876183,45,0,704,0,0,0.907404492865803,0,2,1,0.14922182465414666
28864.09657033174,289494.3255589426,0.8357970626632579,31,3,685,0,0,0.9432011362207139,1,1,0,0.29243707315080425
53336.45803784626,495754.29377733177,0.7745707033163515,57,1,679,4,0,0.962434084859217,0,1,0,0.2083352133916393
27462.00520964631,761049.26804409,2.3094006374571037,68,0,602,5,0,0.9802718024635823,0,2,0,0.3255071732933106
68818.31195571776,219789.56485445006,0.26614714239125425,21,2,566,0,0,0.8355549492955068,0,3,0,0.28360417785640135
43262.30776624568,392868.9681339361,0.7567576111455582,21,0,729,4,0,0.9923569191914162,0,2,1,0.20187775619067938
40439.763228252494,382107.7901593411,0.7874011444351315,31,1,684,4,0,0.9379023522672377,0,2,0,0.20097107014780652
31556.511324409308,568510.7281811154,1.5013032818506515,24,0,770,0,0,0.9488373057421384,0,2,0,0.19101855817337246
81737.70413700333,440110.4415824105,0.44870198544350937,18,0,628,0,0,0.9916350000277632,0,3,0,0.1443612651635309
41057.765099028344,318848.02249041863,0.6471533089241877,68,0,612,1,0,0.8233148594253765,0,1,0,0.19617436943423988
35804.75872801139,935783.5403961637,2.1779775781220985,48,2,762,1,0,0.9556487759075485,1,1,0,0.2977120541381839
37195.13398148313,320118.17741686205,0.7172044278162537,58,4,676,1,0,0.9542593556149106,0,2,1,0.16485965119901883
57881.58663011522,371291.2901549106,0.5345558518284342,47,0,768,4,1,0.9653771819971229,0,2,0,0.14019758430203605
53248.34653917326,170263.31312330786,0.2664610330483065,56,0,702,1,0,0.8998764010327036,0,1,1,0.08244044961787406
54522.367309113724,288319.4869322349,0.4406746276221097,53,0,850,3,0,0.758538978605563,0,1,0,0.10538390499411766
55017.71490318987,602983.8217837778,0.9133176814728349,26,1,760,2,0,0.958387024187118,1,2,0,0.21029341571810947
129420.72369588187,536252.9089435011,0.34529046922166434,25,0,732,1,0,0.8386579834184733,0,3,1,0.13929912764230032
36199.207011262224,633940.3818364106,1.4593790724917912,43,1,763,5,0,0.8260547923371448,0,2,0,0.19652195817746893
34333.56188836688,615745.7239910758,1.4945185073649143,37,0,678,1,0,0.9096496963415696,0,2,0,0.1928468867961346
29528.572587907896,1548238.547601165,4.369323257420105,61,0,568,1,0,0.9837187118296574,0,1,0,0.4616561921702776
60354.4349683402,282457.8750356526,0.3899987841045705,33,3,728,1,0,0.9034607900562018,0,3,0,0.23337057400447125
78001.71919266591,167434.20614365814,0.17887875621699661,35,1,855,5,0,0.8274638540519422,0,1,0,0.11372508587308508
41899.3784291022,235547.57814126776,0.4684786643868656,45,0,516,5,0,0.8349496709114755,0,2,0,0.26129437154741475
29141.593470330892,290050.08632087527,0.8294275517688482,28,0,737,3,0,0.9260747465305463,0,1,0,0.09104064431106704
29370.891920578368,246570.64853400044,0.6995890387007158,62,0,577,3,0,0.9601199425069933,0,2,0,0.2078433371172699
61408.06110743348,467987.33313699986,0.6350785829217864,18,0,698,3,0,0.947122639568615,0,3,0,0.1152035040343572
64320.076010132405,938082.2806029915,1.2153829446853868,62,0,706,3,0,0.7764507521718739,0,2,0,0.21559468506778587
58196.30444253891,1114365.1670016514,1.595698641113799,50,1,759,4,0,0.9596326510355646,0,1,0,0.23896566546451337
31800.749776117715,598741.4220101169,1.5689918901948086,64,0,716,0,0,0.9641829074985383,0,3,0,0.21834928752212854
49815.46024562117,1598799.0782170866,2.674536295783835,33,0,809,4,0,0.9576211612658034,1,2,0,0.3288484173429876
47020.685673035194,357244.66639306996,0.6331338737402014,64,0,793,4,0,0.8732040184045189,0,2,0,0.09867110175356339
49481.01295790641,166123.800379657,0.2797770135266815,62,0,684,5,0,0.8634922724320307,0,2,1,0.11509147225633189
68577.13087562184,832265.5509825746,1.0113497268888523,41,0,787,2,0,0.9780102570881929,0,1,0,0.12836225842465837
49602.562485236915,146802.49118601732,0.2466312286952745,32,2,674,0,0,0.7599677514483436,0,3,0,0.1852509391075649
62283.80888648754,281249.7057787211,0.37630125550405835,28,0,661,2,0,0.9370209438928047,0,3,0,0.1523204589152063
45880.22772599741,604445.8334338495,1.0978691391922997,25,1,603,2,0,0.758033077938449,0,1,1,0.34752435457878506
51254.5513222283,416054.32180096523,0.6764510192556776,48,0,804,3,0,0.9273673567269767,0,1,1,0.13161870230033304
60818.18465275152,394521.2732006149,0.5405747138694069,67,0,675,1,0,0.919636019091951,0,2,0,0.16881339556149977
21405.904840434552,217842.1463794579,0.8480609595160488,47,0,506,0,0,0.8856199506387924,0,3,0,0.2988801154194818
37803.78057512165,439555.19158237753,0.968940109726409,68,1,743,0,0,0.9627768271721043,0,2,0,0.11914627280648832
35059.91285421418,807903.1716397475,1.9202918325343137,57,0,665,4,0,0.9623009547835024,0,2,1,0.3172441833377228
32227.03823354252,447745.7150524001,1.1577900100729128,53,1,676,0,0,0.9167955839712799,0,1,0,0.20269246433925595
38654.9019181676,268838.06063057715,0.5795687120521548,55,0,681,3,0,0.7516442139956226,1,3,0,0.22174955714902406
93664.13732328742,209290.16631395044,0.18620624383301657,66,1,673,4,0,0.9488474046457444,0,2,0,0.07473101113990423
28769.884506167764,272186.6301439496,0.7884014679933731,62,0,900,3,0,0.8902872200020329,0,2,1,0.06794731182591224
71979.68297650054,559836.6095336272,0.6481419320740814,26,0,833,0,0,0.9302405779883313,0,2,1,0.16262463640358563
19121.43266913033,543704.596612453,2.3695251903126247,48,1,755,0,1,0.9786384744022629,0,2,0,0.40588217298797985
37517.30172942684,273674.7782329834,0.6078857078766707,41,0,719,5,0,0.9692922856926189,0,1,0,0.1396127448413964
48116.31234307049,117423.7360341884,0.20336785717103292,63,0,790,3,0,0.8834156727708113,0,3,1,0.11437778303866081
59463.09611092927,569211.6761224661,0.7977099990731975,28,1,719,4,0,0.9675756671789465,0,2,0,0.1256894064003702
63298.27077929097,258170.51607496454,0.33988621502678434,60,1,765,5,0,0.806949117010503,0,2,0,0.14484333192028157
